State,massShootings,Pop
California,257,39664128
Illinois,209,12518071
Florida,147,22177997
Texas,129,30097526
New York,96,19223191
Pennsylvania,92,12805190
Georgia,89,10936299
Louisiana,87,4616106
Tennessee,84,7001803
Ohio,80,11727377
Missouri,73,6184843
Michigan,66,9995212
New Jersey,65,8870685
Maryland,58,6075314
Delaware,58,998619
North Carolina,57,10807491
Virginia,54,8638218
Indiana,54,6842385
Alabama,49,4949697
South Carolina,44,5342388
Mississippi,34,2961536
Kentucky,28,4487233
Arizona,27,7640796
Washington,24,7887965
Colorado,24,5961083
Oklahoma,22,4007179
Minnesota,21,5739781
Connecticut,19,3546588
Arkansas,19,3042017
Nevada,18,3238601
Kansas,18,2919179
Massachusetts,16,6922107
New Mexico,15,2109093
Nebraska,8,1960790
Oregon,7,4325290
Wisconsin,6,5867518
Iowa,6,3174426
Utah,5,3363182
Rhode Island,4,1062583
West Virginia,3,1755715
Montana,3,1093117
South Dakota,2,902542
Maine,2,1359677
Vermont,1,622882
Alaska,1,720763
Wyoming,0,582233
North Dakota,0,774008
New Hampshire,0,1378449
Idaho,0,1896652
Hawaii,0,1401709
